stage,cohort,scheme,fold,seed,model,ecg_id,n_features,n_missing
stage1,all300,exploratory,1,7001,C,19248,92,0
stage1,all300,exploratory,1,7001,C,19331,92,0
stage1,all300,exploratory,1,7001,C,19489,92,0
stage1,all300,exploratory,1,7001,C,19493,92,0
stage1,all300,exploratory,1,7001,C,21775,92,0
stage1,all300,exploratory,1,7002,A,96,24,0
stage1,all300,exploratory,1,7002,A,1217,24,0
stage1,all300,exploratory,1,7002,A,2858,24,24
stage1,all300,exploratory,1,7002,A,3621,24,0
stage1,all300,exploratory,1,7002,A,4398,24,0
stage1,all300,exploratory,1,7002,A,5453,24,0
stage1,all300,exploratory,1,7002,A,5984,24,0
stage1,all300,exploratory,1,7002,A,6554,24,0
stage1,all300,exploratory,1,7002,A,6888,24,0
stage1,all300,exploratory,1,7002,A,9057,24,0
stage1,all300,exploratory,1,7002,A,9747,24,0
stage1,all300,exploratory,1,7002,A,10702,24,0
stage1,all300,exploratory,1,7002,A,10746,24,0
stage1,all300,exploratory,1,7002,A,11011,24,0
stage1,all300,exploratory,1,7002,A,11526,24,0
stage1,all300,exploratory,1,7002,A,11924,24,24
stage1,all300,exploratory,1,7002,A,12663,24,0
stage1,all300,exploratory,1,7002,A,13919,24,24
stage1,all300,exploratory,1,7002,A,14453,24,0
stage1,all300,exploratory,1,7002,A,17745,24,0
stage1,all300,exploratory,1,7002,A,17907,24,0
stage1,all300,exploratory,1,7002,A,18572,24,24
stage1,all300,exploratory,1,7002,A,19035,24,0
stage1,all300,exploratory,1,7002,A,19248,24,0
stage1,all300,exploratory,1,7002,A,19331,24,0
stage1,all300,exploratory,1,7002,A,19489,24,0
stage1,all300,exploratory,1,7002,A,19493,24,0
stage1,all300,exploratory,1,7002,A,21775,24,0
stage1,all300,exploratory,1,7002,B,96,52,0
stage1,all300,exploratory,1,7002,B,1217,52,0
stage1,all300,exploratory,1,7002,B,2858,52,52
stage1,all300,exploratory,1,7002,B,3621,52,0
stage1,all300,exploratory,1,7002,B,4398,52,0
stage1,all300,exploratory,1,7002,B,5453,52,0
stage1,all300,exploratory,1,7002,B,5984,52,0
stage1,all300,exploratory,1,7002,B,6554,52,0
stage1,all300,exploratory,1,7002,B,6888,52,0
stage1,all300,exploratory,1,7002,B,9057,52,0
stage1,all300,exploratory,1,7002,B,9747,52,0
stage1,all300,exploratory,1,7002,B,10702,52,0
stage1,all300,exploratory,1,7002,B,10746,52,0
stage1,all300,exploratory,1,7002,B,11011,52,0
stage1,all300,exploratory,1,7002,B,11526,52,0
stage1,all300,exploratory,1,7002,B,11924,52,52
stage1,all300,exploratory,1,7002,B,12663,52,0
stage1,all300,exploratory,1,7002,B,13919,52,52
stage1,all300,exploratory,1,7002,B,14453,52,0
stage1,all300,exploratory,1,7002,B,17745,52,0
stage1,all300,exploratory,1,7002,B,17907,52,0
stage1,all300,exploratory,1,7002,B,18572,52,52
stage1,all300,exploratory,1,7002,B,19035,52,0
stage1,all300,exploratory,1,7002,B,19248,52,0
stage1,all300,exploratory,1,7002,B,19331,52,0
stage1,all300,exploratory,1,7002,B,19489,52,0
stage1,all300,exploratory,1,7002,B,19493,52,0
stage1,all300,exploratory,1,7002,B,21775,52,0
stage1,all300,exploratory,1,7002,C,96,92,0
stage1,all300,exploratory,1,7002,C,1217,92,0
stage1,all300,exploratory,1,7002,C,2858,92,92
stage1,all300,exploratory,1,7002,C,3621,92,0
stage1,all300,exploratory,1,7002,C,4398,92,0
stage1,all300,exploratory,1,7002,C,5453,92,0
stage1,all300,exploratory,1,7002,C,5984,92,0
stage1,all300,exploratory,1,7002,C,6554,92,0
stage1,all300,exploratory,1,7002,C,6888,92,0
stage1,all300,exploratory,1,7002,C,9057,92,0
stage1,all300,exploratory,1,7002,C,9747,92,0
stage1,all300,exploratory,1,7002,C,10702,92,0
stage1,all300,exploratory,1,7002,C,10746,92,0
stage1,all300,exploratory,1,7002,C,11011,92,0
stage1,all300,exploratory,1,7002,C,11526,92,0
stage1,all300,exploratory,1,7002,C,11924,92,92
stage1,all300,exploratory,1,7002,C,12663,92,0
stage1,all300,exploratory,1,7002,C,13919,92,92
stage1,all300,exploratory,1,7002,C,14453,92,0
stage1,all300,exploratory,1,7002,C,17745,92,0
stage1,all300,exploratory,1,7002,C,17907,92,0
stage1,all300,exploratory,1,7002,C,18572,92,92
stage1,all300,exploratory,1,7002,C,19035,92,0
stage1,all300,exploratory,1,7002,C,19248,92,0
stage1,all300,exploratory,1,7002,C,19331,92,0
stage1,all300,exploratory,1,7002,C,19489,92,0
stage1,all300,exploratory,1,7002,C,19493,92,0
stage1,all300,exploratory,1,7002,C,21775,92,0
stage1,all300,exploratory,1,7003,A,96,24,0
stage1,all300,exploratory,1,7003,A,1217,24,0
stage1,all300,exploratory,1,7003,A,2858,24,24
stage1,all300,exploratory,1,7003,A,3621,24,0
stage1,all300,exploratory,1,7003,A,4398,24,0
stage1,all300,exploratory,1,7003,A,5453,24,0
stage1,all300,exploratory,1,7003,A,5984,24,0
stage1,all300,exploratory,1,7003,A,6554,24,0
stage1,all300,exploratory,1,7003,A,6888,24,0
stage1,all300,exploratory,1,7003,A,9057,24,0
stage1,all300,exploratory,1,7003,A,9747,24,0
stage1,all300,exploratory,1,7003,A,10702,24,0
stage1,all300,exploratory,1,7003,A,10746,24,0
stage1,all300,exploratory,1,7003,A,11011,24,0
stage1,all300,exploratory,1,7003,A,11526,24,0
stage1,all300,exploratory,1,7003,A,11924,24,24
stage1,all300,exploratory,1,7003,A,12663,24,0
stage1,all300,exploratory,1,7003,A,13919,24,24
stage1,all300,exploratory,1,7003,A,14453,24,0
stage1,all300,exploratory,1,7003,A,17745,24,0
stage1,all300,exploratory,1,7003,A,17907,24,0
stage1,all300,exploratory,1,7003,A,18572,24,24
stage1,all300,exploratory,1,7003,A,19035,24,0
stage1,all300,exploratory,1,7003,A,19248,24,0
stage1,all300,exploratory,1,7003,A,19331,24,0
stage1,all300,exploratory,1,7003,A,19489,24,0
stage1,all300,exploratory,1,7003,A,19493,24,0
stage1,all300,exploratory,1,7003,A,21775,24,0
stage1,all300,exploratory,1,7003,B,96,52,0
stage1,all300,exploratory,1,7003,B,1217,52,0
stage1,all300,exploratory,1,7003,B,2858,52,52
stage1,all300,exploratory,1,7003,B,3621,52,0
stage1,all300,exploratory,1,7003,B,4398,52,0
stage1,all300,exploratory,1,7003,B,5453,52,0
stage1,all300,exploratory,1,7003,B,5984,52,0
stage1,all300,exploratory,1,7003,B,6554,52,0
stage1,all300,exploratory,1,7003,B,6888,52,0
stage1,all300,exploratory,1,7003,B,9057,52,0
stage1,all300,exploratory,1,7003,B,9747,52,0
stage1,all300,exploratory,1,7003,B,10702,52,0
stage1,all300,exploratory,1,7003,B,10746,52,0
stage1,all300,exploratory,1,7003,B,11011,52,0
stage1,all300,exploratory,1,7003,B,11526,52,0
stage1,all300,exploratory,1,7003,B,11924,52,52
stage1,all300,exploratory,1,7003,B,12663,52,0
stage1,all300,exploratory,1,7003,B,13919,52,52
stage1,all300,exploratory,1,7003,B,14453,52,0
stage1,all300,exploratory,1,7003,B,17745,52,0
stage1,all300,exploratory,1,7003,B,17907,52,0
stage1,all300,exploratory,1,7003,B,18572,52,52
stage1,all300,exploratory,1,7003,B,19035,52,0
stage1,all300,exploratory,1,7003,B,19248,52,0
stage1,all300,exploratory,1,7003,B,19331,52,0
stage1,all300,exploratory,1,7003,B,19489,52,0
stage1,all300,exploratory,1,7003,B,19493,52,0
stage1,all300,exploratory,1,7003,B,21775,52,0
stage1,all300,exploratory,1,7003,C,96,92,0
stage1,all300,exploratory,1,7003,C,1217,92,0
stage1,all300,exploratory,1,7003,C,2858,92,92
stage1,all300,exploratory,1,7003,C,3621,92,0
stage1,all300,exploratory,1,7003,C,4398,92,0
stage1,all300,exploratory,1,7003,C,5453,92,0
stage1,all300,exploratory,1,7003,C,5984,92,0
stage1,all300,exploratory,1,7003,C,6554,92,0
stage1,all300,exploratory,1,7003,C,6888,92,0
stage1,all300,exploratory,1,7003,C,9057,92,0
stage1,all300,exploratory,1,7003,C,9747,92,0
stage1,all300,exploratory,1,7003,C,10702,92,0
stage1,all300,exploratory,1,7003,C,10746,92,0
stage1,all300,exploratory,1,7003,C,11011,92,0
stage1,all300,exploratory,1,7003,C,11526,92,0
stage1,all300,exploratory,1,7003,C,11924,92,92
stage1,all300,exploratory,1,7003,C,12663,92,0
stage1,all300,exploratory,1,7003,C,13919,92,92
stage1,all300,exploratory,1,7003,C,14453,92,0
stage1,all300,exploratory,1,7003,C,17745,92,0
stage1,all300,exploratory,1,7003,C,17907,92,0
stage1,all300,exploratory,1,7003,C,18572,92,92
stage1,all300,exploratory,1,7003,C,19035,92,0
stage1,all300,exploratory,1,7003,C,19248,92,0
stage1,all300,exploratory,1,7003,C,19331,92,0
stage1,all300,exploratory,1,7003,C,19489,92,0
stage1,all300,exploratory,1,7003,C,19493,92,0
stage1,all300,exploratory,1,7003,C,21775,92,0
stage1,all300,exploratory,1,7004,A,96,24,0
stage1,all300,exploratory,1,7004,A,1217,24,0
stage1,all300,exploratory,1,7004,A,2858,24,24
stage1,all300,exploratory,1,7004,A,3621,24,0
stage1,all300,exploratory,1,7004,A,4398,24,0
stage1,all300,exploratory,1,7004,A,5453,24,0
stage1,all300,exploratory,1,7004,A,5984,24,0
stage1,all300,exploratory,1,7004,A,6554,24,0
stage1,all300,exploratory,1,7004,A,6888,24,0
stage1,all300,exploratory,1,7004,A,9057,24,0
stage1,all300,exploratory,1,7004,A,9747,24,0
stage1,all300,exploratory,1,7004,A,10702,24,0
stage1,all300,exploratory,1,7004,A,10746,24,0
stage1,all300,exploratory,1,7004,A,11011,24,0
stage1,all300,exploratory,1,7004,A,11526,24,0
stage1,all300,exploratory,1,7004,A,11924,24,24
stage1,all300,exploratory,1,7004,A,12663,24,0
stage1,all300,exploratory,1,7004,A,13919,24,24
stage1,all300,exploratory,1,7004,A,14453,24,0
stage1,all300,exploratory,1,7004,A,17745,24,0
stage1,all300,exploratory,1,7004,A,17907,24,0
stage1,all300,exploratory,1,7004,A,18572,24,24
stage1,all300,exploratory,1,7004,A,19035,24,0
stage1,all300,exploratory,1,7004,A,19248,24,0
stage1,all300,exploratory,1,7004,A,19331,24,0
stage1,all300,exploratory,1,7004,A,19489,24,0
stage1,all300,exploratory,1,7004,A,19493,24,0
stage1,all300,exploratory,1,7004,A,21775,24,0
stage1,all300,exploratory,1,7004,B,96,52,0
stage1,all300,exploratory,1,7004,B,1217,52,0
stage1,all300,exploratory,1,7004,B,2858,52,52
stage1,all300,exploratory,1,7004,B,3621,52,0
stage1,all300,exploratory,1,7004,B,4398,52,0
stage1,all300,exploratory,1,7004,B,5453,52,0
stage1,all300,exploratory,1,7004,B,5984,52,0
stage1,all300,exploratory,1,7004,B,6554,52,0
stage1,all300,exploratory,1,7004,B,6888,52,0
stage1,all300,exploratory,1,7004,B,9057,52,0
stage1,all300,exploratory,1,7004,B,9747,52,0
stage1,all300,exploratory,1,7004,B,10702,52,0
stage1,all300,exploratory,1,7004,B,10746,52,0
stage1,all300,exploratory,1,7004,B,11011,52,0
stage1,all300,exploratory,1,7004,B,11526,52,0
stage1,all300,exploratory,1,7004,B,11924,52,52
stage1,all300,exploratory,1,7004,B,12663,52,0
stage1,all300,exploratory,1,7004,B,13919,52,52
stage1,all300,exploratory,1,7004,B,14453,52,0
stage1,all300,exploratory,1,7004,B,17745,52,0
stage1,all300,exploratory,1,7004,B,17907,52,0
stage1,all300,exploratory,1,7004,B,18572,52,52
stage1,all300,exploratory,1,7004,B,19035,52,0
stage1,all300,exploratory,1,7004,B,19248,52,0
stage1,all300,exploratory,1,7004,B,19331,52,0
stage1,all300,exploratory,1,7004,B,19489,52,0
stage1,all300,exploratory,1,7004,B,19493,52,0
stage1,all300,exploratory,1,7004,B,21775,52,0
stage1,all300,exploratory,1,7004,C,96,92,0
stage1,all300,exploratory,1,7004,C,1217,92,0
stage1,all300,exploratory,1,7004,C,2858,92,92
stage1,all300,exploratory,1,7004,C,3621,92,0
stage1,all300,exploratory,1,7004,C,4398,92,0
stage1,all300,exploratory,1,7004,C,5453,92,0
stage1,all300,exploratory,1,7004,C,5984,92,0
stage1,all300,exploratory,1,7004,C,6554,92,0
stage1,all300,exploratory,1,7004,C,6888,92,0
stage1,all300,exploratory,1,7004,C,9057,92,0
stage1,all300,exploratory,1,7004,C,9747,92,0
stage1,all300,exploratory,1,7004,C,10702,92,0
stage1,all300,exploratory,1,7004,C,10746,92,0
stage1,all300,exploratory,1,7004,C,11011,92,0
stage1,all300,exploratory,1,7004,C,11526,92,0
stage1,all300,exploratory,1,7004,C,11924,92,92
stage1,all300,exploratory,1,7004,C,12663,92,0
stage1,all300,exploratory,1,7004,C,13919,92,92
stage1,all300,exploratory,1,7004,C,14453,92,0
stage1,all300,exploratory,1,7004,C,17745,92,0
stage1,all300,exploratory,1,7004,C,17907,92,0
stage1,all300,exploratory,1,7004,C,18572,92,92
stage1,all300,exploratory,1,7004,C,19035,92,0
stage1,all300,exploratory,1,7004,C,19248,92,0
stage1,all300,exploratory,1,7004,C,19331,92,0
stage1,all300,exploratory,1,7004,C,19489,92,0
stage1,all300,exploratory,1,7004,C,19493,92,0
stage1,all300,exploratory,1,7004,C,21775,92,0
stage1,all300,exploratory,1,7005,A,96,24,0
stage1,all300,exploratory,1,7005,A,1217,24,0
stage1,all300,exploratory,1,7005,A,2858,24,24
stage1,all300,exploratory,1,7005,A,3621,24,0
stage1,all300,exploratory,1,7005,A,4398,24,0
stage1,all300,exploratory,1,7005,A,5453,24,0
stage1,all300,exploratory,1,7005,A,5984,24,0
stage1,all300,exploratory,1,7005,A,6554,24,0
stage1,all300,exploratory,1,7005,A,6888,24,0
stage1,all300,exploratory,1,7005,A,9057,24,0
stage1,all300,exploratory,1,7005,A,9747,24,0
stage1,all300,exploratory,1,7005,A,10702,24,0
stage1,all300,exploratory,1,7005,A,10746,24,0
stage1,all300,exploratory,1,7005,A,11011,24,0
stage1,all300,exploratory,1,7005,A,11526,24,0
stage1,all300,exploratory,1,7005,A,11924,24,24
stage1,all300,exploratory,1,7005,A,12663,24,0
stage1,all300,exploratory,1,7005,A,13919,24,24
stage1,all300,exploratory,1,7005,A,14453,24,0
stage1,all300,exploratory,1,7005,A,17745,24,0
stage1,all300,exploratory,1,7005,A,17907,24,0
stage1,all300,exploratory,1,7005,A,18572,24,24
stage1,all300,exploratory,1,7005,A,19035,24,0
stage1,all300,exploratory,1,7005,A,19248,24,0
stage1,all300,exploratory,1,7005,A,19331,24,0
stage1,all300,exploratory,1,7005,A,19489,24,0
stage1,all300,exploratory,1,7005,A,19493,24,0
stage1,all300,exploratory,1,7005,A,21775,24,0
stage1,all300,exploratory,1,7005,B,96,52,0
stage1,all300,exploratory,1,7005,B,1217,52,0
stage1,all300,exploratory,1,7005,B,2858,52,52
stage1,all300,exploratory,1,7005,B,3621,52,0
stage1,all300,exploratory,1,7005,B,4398,52,0
stage1,all300,exploratory,1,7005,B,5453,52,0
stage1,all300,exploratory,1,7005,B,5984,52,0
stage1,all300,exploratory,1,7005,B,6554,52,0
stage1,all300,exploratory,1,7005,B,6888,52,0
stage1,all300,exploratory,1,7005,B,9057,52,0
stage1,all300,exploratory,1,7005,B,9747,52,0
stage1,all300,exploratory,1,7005,B,10702,52,0
stage1,all300,exploratory,1,7005,B,10746,52,0
stage1,all300,exploratory,1,7005,B,11011,52,0
stage1,all300,exploratory,1,7005,B,11526,52,0
stage1,all300,exploratory,1,7005,B,11924,52,52
stage1,all300,exploratory,1,7005,B,12663,52,0
stage1,all300,exploratory,1,7005,B,13919,52,52
stage1,all300,exploratory,1,7005,B,14453,52,0
stage1,all300,exploratory,1,7005,B,17745,52,0
stage1,all300,exploratory,1,7005,B,17907,52,0
stage1,all300,exploratory,1,7005,B,18572,52,52
stage1,all300,exploratory,1,7005,B,19035,52,0
stage1,all300,exploratory,1,7005,B,19248,52,0
stage1,all300,exploratory,1,7005,B,19331,52,0
stage1,all300,exploratory,1,7005,B,19489,52,0
stage1,all300,exploratory,1,7005,B,19493,52,0
stage1,all300,exploratory,1,7005,B,21775,52,0
stage1,all300,exploratory,1,7005,C,96,92,0
stage1,all300,exploratory,1,7005,C,1217,92,0
stage1,all300,exploratory,1,7005,C,2858,92,92
stage1,all300,exploratory,1,7005,C,3621,92,0
stage1,all300,exploratory,1,7005,C,4398,92,0
stage1,all300,exploratory,1,7005,C,5453,92,0
stage1,all300,exploratory,1,7005,C,5984,92,0
stage1,all300,exploratory,1,7005,C,6554,92,0
stage1,all300,exploratory,1,7005,C,6888,92,0
stage1,all300,exploratory,1,7005,C,9057,92,0
stage1,all300,exploratory,1,7005,C,9747,92,0
stage1,all300,exploratory,1,7005,C,10702,92,0
stage1,all300,exploratory,1,7005,C,10746,92,0
stage1,all300,exploratory,1,7005,C,11011,92,0
stage1,all300,exploratory,1,7005,C,11526,92,0
stage1,all300,exploratory,1,7005,C,11924,92,92
stage1,all300,exploratory,1,7005,C,12663,92,0
stage1,all300,exploratory,1,7005,C,13919,92,92
stage1,all300,exploratory,1,7005,C,14453,92,0
stage1,all300,exploratory,1,7005,C,17745,92,0
stage1,all300,exploratory,1,7005,C,17907,92,0
stage1,all300,exploratory,1,7005,C,18572,92,92
stage1,all300,exploratory,1,7005,C,19035,92,0
stage1,all300,exploratory,1,7005,C,19248,92,0
stage1,all300,exploratory,1,7005,C,19331,92,0
stage1,all300,exploratory,1,7005,C,19489,92,0
stage1,all300,exploratory,1,7005,C,19493,92,0
stage1,all300,exploratory,1,7005,C,21775,92,0
stage1,all300,exploratory,2,0,A,1241,24,0
stage1,all300,exploratory,2,0,A,1904,24,0
stage1,all300,exploratory,2,0,A,1996,24,0
stage1,all300,exploratory,2,0,A,2491,24,0
stage1,all300,exploratory,2,0,A,2784,24,0
stage1,all300,exploratory,2,0,A,3175,24,0
stage1,all300,exploratory,2,0,A,3839,24,0
stage1,all300,exploratory,2,0,A,3853,24,0
stage1,all300,exploratory,2,0,A,3922,24,0
stage1,all300,exploratory,2,0,A,4129,24,0
stage1,all300,exploratory,2,0,A,4210,24,24
stage1,all300,exploratory,2,0,A,4323,24,0
stage1,all300,exploratory,2,0,A,4374,24,24
stage1,all300,exploratory,2,0,A,5823,24,0
stage1,all300,exploratory,2,0,A,5962,24,24
stage1,all300,exploratory,2,0,A,6347,24,0
stage1,all300,exploratory,2,0,A,6611,24,0
stage1,all300,exploratory,2,0,A,7420,24,0
stage1,all300,exploratory,2,0,A,7659,24,0
stage1,all300,exploratory,2,0,A,7844,24,0
stage1,all300,exploratory,2,0,A,8456,24,0
stage1,all300,exploratory,2,0,A,9285,24,0
stage1,all300,exploratory,2,0,A,9782,24,0
stage1,all300,exploratory,2,0,A,10703,24,0
stage1,all300,exploratory,2,0,A,10811,24,0
stage1,all300,exploratory,2,0,A,11163,24,0
stage1,all300,exploratory,2,0,A,12087,24,0
stage1,all300,exploratory,2,0,A,12884,24,0
stage1,all300,exploratory,2,0,A,13661,24,0
stage1,all300,exploratory,2,0,A,14398,24,0
stage1,all300,exploratory,2,0,A,14664,24,0
stage1,all300,exploratory,2,0,A,15655,24,0
stage1,all300,exploratory,2,0,A,16181,24,0
stage1,all300,exploratory,2,0,A,16837,24,0
stage1,all300,exploratory,2,0,A,17046,24,0
stage1,all300,exploratory,2,0,A,17436,24,0
stage1,all300,exploratory,2,0,A,18679,24,0
