stage,ecg_id,source_peak_index,r_peak_sample,r_peak_time_s,left_sample,right_sample,rr_prev_ms,rr_next_ms,valid,failure_reason,beat_index
stage2,697,3,1296,2.592,1103.0,1447.0,772.0,604.0,True,,2
stage2,697,4,1598,3.196,1447.0,1787.5,604.0,758.0,True,,3
stage2,697,5,1977,3.954,1787.5,2164.0,758.0,748.0,True,,4
stage2,697,6,2351,4.702,2164.0,2482.0,748.0,524.0,True,,5
stage2,697,7,2613,5.226,2482.0,2895.5,524.0,1130.0,True,,6
stage2,697,8,3178,6.356,2895.5,3295.0,1130.0,468.0,True,,7
stage2,697,9,3412,6.824,3295.0,3540.5,468.0,514.0,True,,8
stage2,697,10,3669,7.338,3540.5,3800.0,514.0,524.0,True,,9
stage2,697,11,3931,7.862,3800.0,4083.0,524.0,608.0,True,,10
stage2,697,12,4235,8.47,4083.0,4359.0,608.0,496.0,True,,11
stage2,697,13,4483,8.966,4359.0,4701.0,496.0,872.0,True,,12
stage2,697,14,4919,9.838,4701.0,,872.0,,False,edge_no_two_neighbors,-1
stage2,900,0,381,0.762,,587.0,,824.0,False,edge_no_two_neighbors,-1
stage2,900,1,793,1.586,587.0,985.5,824.0,770.0,True,,0
stage2,900,2,1178,2.356,985.5,1371.0,770.0,772.0,True,,1
stage2,900,3,1564,3.128,1371.0,1752.0,772.0,752.0,True,,2
stage2,900,4,1940,3.88,1752.0,2124.5,752.0,738.0,True,,3
stage2,900,5,2309,4.618,2124.5,2501.0,738.0,768.0,True,,4
stage2,900,6,2693,5.386,2501.0,2884.0,768.0,764.0,True,,5
stage2,900,7,3075,6.15,2884.0,3263.5,764.0,754.0,True,,6
stage2,900,8,3452,6.904,3263.5,3638.0,754.0,744.0,True,,7
stage2,900,9,3824,7.648,3638.0,4003.5,744.0,718.0,True,,8
stage2,900,10,4183,8.366,4003.5,4367.5,718.0,738.0,True,,9
stage2,900,11,4552,9.104,4367.5,4734.0,738.0,728.0,True,,10
stage2,900,12,4916,9.832,4734.0,,728.0,,False,edge_no_two_neighbors,-1
stage2,933,0,333,0.666,,531.5,,794.0,False,edge_no_two_neighbors,-1
stage2,933,1,730,1.46,531.5,929.5,794.0,798.0,True,,0
stage2,933,2,1129,2.258,929.5,1336.0,798.0,828.0,True,,1
stage2,933,3,1543,3.086,1336.0,1761.0,828.0,872.0,True,,2
stage2,933,4,1979,3.958,1761.0,2205.5,872.0,906.0,True,,3
stage2,933,5,2432,4.864,2205.5,2655.0,906.0,892.0,True,,4
stage2,933,6,2878,5.756,2655.0,3102.5,892.0,898.0,True,,5
stage2,933,7,3327,6.654,3102.5,3549.0,898.0,888.0,True,,6
stage2,933,8,3771,7.542,3549.0,3990.0,888.0,876.0,True,,7
stage2,933,9,4209,8.418,3990.0,4420.0,876.0,844.0,True,,8
stage2,933,10,4631,9.262,4420.0,,844.0,,False,edge_no_two_neighbors,-1
stage2,1004,0,426,0.852,,621.0,,780.0,False,edge_no_two_neighbors,-1
stage2,1004,1,816,1.632,621.0,1011.0,780.0,780.0,True,,0
stage2,1004,2,1206,2.412,1011.0,1332.5,780.0,506.0,True,,1
stage2,1004,3,1459,2.918,1332.5,1743.0,506.0,1136.0,True,,2
stage2,1004,4,2027,4.054,1743.0,2213.0,1136.0,744.0,True,,3
stage2,1004,5,2399,4.798,2213.0,2594.5,744.0,782.0,True,,4
stage2,1004,6,2790,5.58,2594.5,2989.0,782.0,796.0,True,,5
stage2,1004,7,3188,6.376,2989.0,3398.0,796.0,840.0,True,,6
stage2,1004,8,3608,7.216,3398.0,3813.5,840.0,822.0,True,,7
stage2,1004,9,4019,8.038,3813.5,4230.0,822.0,844.0,True,,8
stage2,1004,10,4441,8.882,4230.0,4564.0,844.0,492.0,True,,9
stage2,1004,11,4687,9.374,4564.0,,492.0,,False,edge_no_two_neighbors,-1
stage2,1032,0,336,0.672,,524.5,,754.0,False,edge_no_two_neighbors,-1
stage2,1032,1,713,1.426,524.5,899.5,754.0,746.0,True,,0
stage2,1032,2,1086,2.172,899.5,1267.5,746.0,726.0,True,,1
stage2,1032,3,1449,2.898,1267.5,1636.5,726.0,750.0,True,,2
stage2,1032,4,1824,3.648,1636.5,2014.0,750.0,760.0,True,,3
stage2,1032,5,2204,4.408,2014.0,2394.0,760.0,760.0,True,,4
stage2,1032,6,2584,5.168,2394.0,2777.5,760.0,774.0,True,,5
stage2,1032,7,2971,5.942,2777.5,3164.0,774.0,772.0,True,,6
stage2,1032,8,3357,6.714,3164.0,3547.5,772.0,762.0,True,,7
stage2,1032,9,3738,7.476,3547.5,3928.5,762.0,762.0,True,,8
stage2,1032,10,4119,8.238,3928.5,4311.5,762.0,770.0,True,,9
stage2,1032,11,4504,9.008,4311.5,4697.5,770.0,774.0,True,,10
stage2,1032,12,4891,9.782,4697.5,,774.0,,False,edge_no_two_neighbors,-1
stage2,1154,0,370,0.74,,599.5,,918.0,False,edge_no_two_neighbors,-1
stage2,1154,1,829,1.658,599.5,1062.0,918.0,932.0,True,,0
stage2,1154,2,1295,2.59,1062.0,1527.0,932.0,928.0,True,,1
stage2,1154,3,1759,3.518,1527.0,1989.5,928.0,922.0,True,,2
stage2,1154,4,2220,4.44,1989.5,2437.5,922.0,870.0,True,,3
stage2,1154,5,2655,5.31,2437.5,2874.0,870.0,876.0,True,,4
stage2,1154,6,3093,6.186,2874.0,3309.5,876.0,866.0,True,,5
stage2,1154,7,3526,7.052,3309.5,3737.5,866.0,846.0,True,,6
stage2,1154,8,3949,7.898,3737.5,4179.5,846.0,922.0,True,,7
stage2,1154,9,4410,8.82,4179.5,4636.5,922.0,906.0,True,,8
stage2,1154,10,4863,9.726,4636.5,,906.0,,False,edge_no_two_neighbors,-1
stage2,1192,0,107,0.214,,308.0,,804.0,False,edge_no_two_neighbors,-1
stage2,1192,1,509,1.018,308.0,712.0,804.0,812.0,True,,0
stage2,1192,2,915,1.83,712.0,1120.0,812.0,820.0,True,,1
stage2,1192,3,1325,2.65,1120.0,1528.0,820.0,812.0,True,,2
stage2,1192,4,1731,3.462,1528.0,1932.5,812.0,806.0,True,,3
stage2,1192,5,2134,4.268,1932.5,2337.5,806.0,814.0,True,,4
stage2,1192,6,2541,5.082,2337.5,2746.5,814.0,822.0,True,,5
stage2,1192,7,2952,5.904,2746.5,3153.5,822.0,806.0,True,,6
stage2,1192,8,3355,6.71,3153.5,3557.0,806.0,808.0,True,,7
stage2,1192,9,3759,7.518,3557.0,3963.0,808.0,816.0,True,,8
stage2,1192,10,4167,8.334,3963.0,4369.0,816.0,808.0,True,,9
stage2,1192,11,4571,9.142,4369.0,,808.0,,False,edge_no_two_neighbors,-1
stage2,1217,0,110,0.22,,264.5,,618.0,False,edge_no_two_neighbors,-1
stage2,1217,1,419,0.838,264.5,574.5,618.0,622.0,True,,0
stage2,1217,2,730,1.46,574.5,884.0,622.0,616.0,True,,1
stage2,1217,3,1038,2.076,884.0,1190.5,616.0,610.0,True,,2
stage2,1217,4,1343,2.686,1190.5,1496.0,610.0,612.0,True,,3
stage2,1217,5,1649,3.298,1496.0,1803.0,612.0,616.0,True,,4
stage2,1217,6,1957,3.914,1803.0,2111.5,616.0,618.0,True,,5
stage2,1217,7,2266,4.532,2111.5,2420.0,618.0,616.0,True,,6
stage2,1217,8,2574,5.148,2420.0,2727.0,616.0,612.0,True,,7
stage2,1217,9,2880,5.76,2727.0,3032.0,612.0,608.0,True,,8
stage2,1217,10,3184,6.368,3032.0,3337.5,608.0,614.0,True,,9
stage2,1217,11,3491,6.982,3337.5,3645.5,614.0,618.0,True,,10
stage2,1217,12,3800,7.6,3645.5,3955.5,618.0,622.0,True,,11
stage2,1217,13,4111,8.222,3955.5,4265.5,622.0,618.0,True,,12
stage2,1217,14,4420,8.84,4265.5,4572.5,618.0,610.0,True,,13
stage2,1217,15,4725,9.45,4572.5,,610.0,,False,edge_no_two_neighbors,-1
stage2,1241,0,91,0.182,,259.5,,674.0,False,edge_no_two_neighbors,-1
stage2,1241,1,428,0.856,259.5,596.0,674.0,672.0,True,,0
stage2,1241,2,764,1.528,596.0,929.5,672.0,662.0,True,,1
stage2,1241,3,1095,2.19,929.5,1262.0,662.0,668.0,True,,2
stage2,1241,4,1429,2.858,1262.0,1603.0,668.0,696.0,True,,3
stage2,1241,5,1777,3.554,1603.0,1956.0,696.0,716.0,True,,4
stage2,1241,6,2135,4.27,1956.0,2316.5,716.0,726.0,True,,5
stage2,1241,7,2498,4.996,2316.5,2680.0,726.0,728.0,True,,6
stage2,1241,8,2862,5.724,2680.0,3041.0,728.0,716.0,True,,7
stage2,1241,9,3220,6.44,3041.0,3396.5,716.0,706.0,True,,8
stage2,1241,10,3573,7.146,3396.5,3744.0,706.0,684.0,True,,9
stage2,1241,11,3915,7.83,3744.0,4083.0,684.0,672.0,True,,10
stage2,1241,12,4251,8.502,4083.0,4421.5,672.0,682.0,True,,11
stage2,1241,13,4592,9.184,4421.5,4767.5,682.0,702.0,True,,12
stage2,1241,14,4943,9.886,4767.5,,702.0,,False,edge_no_two_neighbors,-1
stage2,1358,0,31,0.062,,233.0,,808.0,False,edge_no_two_neighbors,-1
stage2,1358,1,435,0.87,233.0,641.5,808.0,826.0,True,,0
stage2,1358,2,848,1.696,641.5,1056.5,826.0,834.0,True,,1
stage2,1358,3,1265,2.53,1056.5,1473.5,834.0,834.0,True,,2
stage2,1358,4,1682,3.364,1473.5,1888.5,834.0,826.0,True,,3
stage2,1358,5,2095,4.19,1888.5,2306.0,826.0,844.0,True,,4
stage2,1358,6,2517,5.034,2306.0,2729.5,844.0,850.0,True,,5
stage2,1358,7,2942,5.884,2729.5,3157.5,850.0,862.0,True,,6
stage2,1358,8,3373,6.746,3157.5,3587.5,862.0,858.0,True,,7
stage2,1358,9,3802,7.604,3587.5,4016.5,858.0,858.0,True,,8
stage2,1358,10,4231,8.462,4016.5,4447.0,858.0,864.0,True,,9
stage2,1358,11,4663,9.326,4447.0,,864.0,,False,edge_no_two_neighbors,-1
stage2,1385,0,397,0.794,,640.5,,974.0,False,edge_no_two_neighbors,-1
stage2,1385,1,884,1.768,640.5,1132.0,974.0,992.0,True,,0
stage2,1385,2,1380,2.76,1132.0,1629.5,992.0,998.0,True,,1
stage2,1385,3,1879,3.758,1629.5,2134.5,998.0,1022.0,True,,2
stage2,1385,4,2390,4.78,2134.5,2647.0,1022.0,1028.0,True,,3
stage2,1385,5,2904,5.808,2647.0,3163.0,1028.0,1036.0,True,,4
stage2,1385,6,3422,6.844,3163.0,3679.5,1036.0,1030.0,True,,5
stage2,1385,7,3937,7.874,3679.5,4198.0,1030.0,1044.0,True,,6
stage2,1385,8,4459,8.918,4198.0,,1044.0,,False,edge_no_two_neighbors,-1
stage2,1446,0,442,0.884,,712.0,,1080.0,False,edge_no_two_neighbors,-1
stage2,1446,1,982,1.964,712.0,1247.0,1080.0,1060.0,True,,0
stage2,1446,2,1512,3.024,1247.0,1779.0,1060.0,1068.0,True,,1
stage2,1446,3,2046,4.092,1779.0,2315.0,1068.0,1076.0,True,,2
stage2,1446,4,2584,5.168,2315.0,2849.5,1076.0,1062.0,True,,3
stage2,1446,5,3115,6.23,2849.5,3376.0,1062.0,1044.0,True,,4
stage2,1446,6,3637,7.274,3376.0,3895.5,1044.0,1034.0,True,,5
stage2,1446,7,4154,8.308,3895.5,4405.5,1034.0,1006.0,True,,6
stage2,1446,8,4657,9.314,4405.5,,1006.0,,False,edge_no_two_neighbors,-1
stage2,1508,0,65,0.13,,191.0,,504.0,False,edge_no_two_neighbors,-1
stage2,1508,1,317,0.634,191.0,406.0,504.0,356.0,True,,0
stage2,1508,2,495,0.99,406.0,606.5,356.0,446.0,True,,1
stage2,1508,3,718,1.436,606.5,885.0,446.0,668.0,True,,2
stage2,1508,4,1052,2.104,885.0,1158.5,668.0,426.0,True,,3
stage2,1508,5,1265,2.53,1158.5,1417.5,426.0,610.0,True,,4
stage2,1508,6,1570,3.14,1417.5,1694.5,610.0,498.0,True,,5
stage2,1508,7,1819,3.638,1694.5,1945.5,498.0,506.0,True,,6
stage2,1508,8,2072,4.144,1945.5,2197.0,506.0,500.0,True,,7
stage2,1508,9,2322,4.644,2197.0,2410.0,500.0,352.0,True,,8
stage2,1508,10,2498,4.996,2410.0,2656.0,352.0,632.0,True,,9
stage2,1508,11,2814,5.628,2656.0,2943.5,632.0,518.0,True,,10
stage2,1508,12,3073,6.146,2943.5,3188.5,518.0,462.0,True,,11
stage2,1508,13,3304,6.608,3188.5,3444.5,462.0,562.0,True,,12
stage2,1508,14,3585,7.17,3444.5,3708.5,562.0,494.0,True,,13
stage2,1508,15,3832,7.664,3708.5,3959.0,494.0,508.0,True,,14
stage2,1508,16,4086,8.172,3959.0,4211.5,508.0,502.0,True,,15
stage2,1508,17,4337,8.674,4211.5,4427.5,502.0,362.0,True,,16
stage2,1508,18,4518,9.036,4427.5,4676.5,362.0,634.0,True,,17
stage2,1508,19,4835,9.67,4676.5,,634.0,,False,edge_no_two_neighbors,-1
stage2,1691,0,321,0.642,,561.0,,960.0,False,edge_no_two_neighbors,-1
stage2,1691,1,801,1.602,561.0,1038.0,960.0,948.0,True,,0
stage2,1691,2,1275,2.55,1038.0,1502.0,948.0,908.0,True,,1
stage2,1691,3,1729,3.458,1502.0,1961.5,908.0,930.0,True,,2
stage2,1691,4,2194,4.388,1961.5,2429.0,930.0,940.0,True,,3
stage2,1691,5,2664,5.328,2429.0,2836.0,940.0,688.0,True,,4
stage2,1691,6,3008,6.016,2836.0,3303.5,688.0,1182.0,True,,5
stage2,1691,7,3599,7.198,3303.5,3836.0,1182.0,948.0,True,,6
stage2,1691,8,4073,8.146,3836.0,4307.0,948.0,936.0,True,,7
stage2,1691,9,4541,9.082,4307.0,,936.0,,False,edge_no_two_neighbors,-1
stage2,1702,0,66,0.132,,262.5,,786.0,False,edge_no_two_neighbors,-1
stage2,1702,1,459,0.918,262.5,743.0,786.0,1136.0,True,,0
stage2,1702,2,1027,2.054,743.0,1311.0,1136.0,1136.0,True,,1
stage2,1702,3,1595,3.19,1311.0,1857.0,1136.0,1048.0,True,,2
stage2,1702,4,2119,4.238,1857.0,2382.5,1048.0,1054.0,True,,3
stage2,1702,5,2646,5.292,2382.5,2914.0,1054.0,1072.0,True,,4
stage2,1702,6,3182,6.364,2914.0,3436.0,1072.0,1016.0,True,,5
stage2,1702,7,3690,7.38,3436.0,3951.5,1016.0,1046.0,True,,6
stage2,1702,8,4213,8.426,3951.5,4474.5,1046.0,1046.0,True,,7
stage2,1702,9,4736,9.472,4474.5,,1046.0,,False,edge_no_two_neighbors,-1
stage2,1779,0,337,0.674,,580.5,,974.0,False,edge_no_two_neighbors,-1
stage2,1779,1,824,1.648,580.5,1070.0,974.0,984.0,True,,0
stage2,1779,2,1316,2.632,1070.0,1552.0,984.0,944.0,True,,1
stage2,1779,3,1788,3.576,1552.0,2019.5,944.0,926.0,True,,2
stage2,1779,4,2251,4.502,2019.5,2480.5,926.0,918.0,True,,3
stage2,1779,5,2710,5.42,2480.5,2944.0,918.0,936.0,True,,4
stage2,1779,6,3178,6.356,2944.0,3416.5,936.0,954.0,True,,5
stage2,1779,7,3655,7.31,3416.5,3893.5,954.0,954.0,True,,6
stage2,1779,8,4132,8.264,3893.5,4367.0,954.0,940.0,True,,7
stage2,1779,9,4602,9.204,4367.0,,940.0,,False,edge_no_two_neighbors,-1
stage2,1904,0,10,0.02,,207.0,,788.0,False,edge_no_two_neighbors,-1
stage2,1904,1,404,0.808,207.0,616.0,788.0,848.0,True,,0
stage2,1904,2,828,1.656,616.0,1037.0,848.0,836.0,True,,1
stage2,1904,3,1246,2.492,1037.0,1456.0,836.0,840.0,True,,2
stage2,1904,4,1666,3.332,1456.0,1875.0,840.0,836.0,True,,3
stage2,1904,5,2084,4.168,1875.0,2290.5,836.0,826.0,True,,4
stage2,1904,6,2497,4.994,2290.5,2704.0,826.0,828.0,True,,5
stage2,1904,7,2911,5.822,2704.0,3122.5,828.0,846.0,True,,6
stage2,1904,8,3334,6.668,3122.5,3543.5,846.0,838.0,True,,7
stage2,1904,9,3753,7.506,3543.5,3963.5,838.0,842.0,True,,8
stage2,1904,10,4174,8.348,3963.5,4381.5,842.0,830.0,True,,9
stage2,1904,11,4589,9.178,4381.5,,830.0,,False,edge_no_two_neighbors,-1
stage2,1913,0,47,0.094,,264.5,,870.0,False,edge_no_two_neighbors,-1
stage2,1913,1,482,0.964,264.5,705.0,870.0,892.0,True,,0
stage2,1913,2,928,1.856,705.0,1153.0,892.0,900.0,True,,1
stage2,1913,3,1378,2.756,1153.0,1603.0,900.0,900.0,True,,2
stage2,1913,4,1828,3.656,1603.0,2049.0,900.0,884.0,True,,3
stage2,1913,5,2270,4.54,2049.0,2489.0,884.0,876.0,True,,4
stage2,1913,6,2708,5.416,2489.0,2933.5,876.0,902.0,True,,5
stage2,1913,7,3159,6.318,2933.5,3391.5,902.0,930.0,True,,6
stage2,1913,8,3624,7.248,3391.5,3854.5,930.0,922.0,True,,7
stage2,1913,9,4085,8.17,3854.5,4311.0,922.0,904.0,True,,8
stage2,1913,10,4537,9.074,4311.0,,904.0,,False,edge_no_two_neighbors,-1
stage2,1996,0,400,0.8,,625.5,,902.0,False,edge_no_two_neighbors,-1
stage2,1996,1,851,1.702,625.5,1077.0,902.0,904.0,True,,0
stage2,1996,2,1303,2.606,1077.0,1524.0,904.0,884.0,True,,1
stage2,1996,3,1745,3.49,1524.0,1968.5,884.0,894.0,True,,2
stage2,1996,4,2192,4.384,1968.5,2421.5,894.0,918.0,True,,3
stage2,1996,5,2651,5.302,2421.5,2875.0,918.0,896.0,True,,4
stage2,1996,6,3099,6.198,2875.0,3321.0,896.0,888.0,True,,5
stage2,1996,7,3543,7.086,3321.0,3768.5,888.0,902.0,True,,6
stage2,1996,8,3994,7.988,3768.5,4218.5,902.0,898.0,True,,7
stage2,1996,9,4443,8.886,4218.5,4664.0,898.0,884.0,True,,8
stage2,1996,10,4885,9.77,4664.0,,884.0,,False,edge_no_two_neighbors,-1
stage2,2005,0,95,0.19,,287.5,,770.0,False,edge_no_two_neighbors,-1
stage2,2005,1,480,0.96,287.5,679.0,770.0,796.0,True,,0
stage2,2005,2,878,1.756,679.0,1085.0,796.0,828.0,True,,1
stage2,2005,3,1292,2.584,1085.0,1502.5,828.0,842.0,True,,2
stage2,2005,4,1713,3.426,1502.5,1927.5,842.0,858.0,True,,3
stage2,2005,5,2142,4.284,1927.5,2357.5,858.0,862.0,True,,4
stage2,2005,6,2573,5.146,2357.5,2786.0,862.0,852.0,True,,5
stage2,2005,7,2999,5.998,2786.0,3209.0,852.0,840.0,True,,6
stage2,2005,8,3419,6.838,3209.0,3627.5,840.0,834.0,True,,7
stage2,2005,9,3836,7.672,3627.5,4044.5,834.0,834.0,True,,8
stage2,2005,10,4253,8.506,4044.5,4464.5,834.0,846.0,True,,9
stage2,2005,11,4676,9.352,4464.5,,846.0,,False,edge_no_two_neighbors,-1
stage2,2052,0,127,0.254,,298.5,,686.0,False,edge_no_two_neighbors,-1
stage2,2052,1,470,0.94,298.5,637.5,686.0,670.0,True,,0
stage2,2052,2,805,1.61,637.5,970.0,670.0,660.0,True,,1
stage2,2052,3,1135,2.27,970.0,1300.0,660.0,660.0,True,,2
stage2,2052,4,1465,2.93,1300.0,1628.0,660.0,652.0,True,,3
