stage,seed,ecg_id,valid_position,vector_origin
stage2,7004,150,0,3
stage2,7004,150,1,4
stage2,7004,150,2,1
stage2,7004,150,3,0
stage2,7004,150,4,5
stage2,7004,150,5,2
stage2,7005,150,0,1
stage2,7005,150,1,3
stage2,7005,150,2,4
stage2,7005,150,3,5
stage2,7005,150,4,0
stage2,7005,150,5,2
stage2,0,333,0,0
stage2,0,333,1,1
stage2,0,333,2,2
stage2,0,333,3,3
stage2,0,333,4,4
stage2,0,333,5,5
stage2,0,333,6,6
stage2,0,333,7,7
stage2,0,333,8,8
stage2,0,333,9,9
stage2,7001,333,0,6
stage2,7001,333,1,5
stage2,7001,333,2,0
stage2,7001,333,3,3
stage2,7001,333,4,8
stage2,7001,333,5,9
stage2,7001,333,6,4
stage2,7001,333,7,2
stage2,7001,333,8,1
stage2,7001,333,9,7
stage2,7002,333,0,0
stage2,7002,333,1,8
stage2,7002,333,2,6
stage2,7002,333,3,2
stage2,7002,333,4,3
stage2,7002,333,5,1
stage2,7002,333,6,9
stage2,7002,333,7,4
stage2,7002,333,8,5
stage2,7002,333,9,7
stage2,7003,333,0,2
stage2,7003,333,1,0
stage2,7003,333,2,7
stage2,7003,333,3,5
stage2,7003,333,4,9
stage2,7003,333,5,4
stage2,7003,333,6,3
stage2,7003,333,7,8
stage2,7003,333,8,6
stage2,7003,333,9,1
stage2,7004,333,0,5
stage2,7004,333,1,6
stage2,7004,333,2,3
stage2,7004,333,3,9
stage2,7004,333,4,0
stage2,7004,333,5,2
stage2,7004,333,6,1
stage2,7004,333,7,8
stage2,7004,333,8,4
stage2,7004,333,9,7
stage2,7005,333,0,0
stage2,7005,333,1,8
stage2,7005,333,2,6
stage2,7005,333,3,5
stage2,7005,333,4,4
stage2,7005,333,5,3
stage2,7005,333,6,1
stage2,7005,333,7,2
stage2,7005,333,8,9
stage2,7005,333,9,7
stage2,0,358,0,0
stage2,0,358,1,1
stage2,0,358,2,2
stage2,0,358,3,3
stage2,0,358,4,4
stage2,0,358,5,5
stage2,0,358,6,6
stage2,0,358,7,7
stage2,0,358,8,8
stage2,7001,358,0,8
stage2,7001,358,1,6
stage2,7001,358,2,5
stage2,7001,358,3,1
stage2,7001,358,4,0
stage2,7001,358,5,2
stage2,7001,358,6,4
stage2,7001,358,7,3
stage2,7001,358,8,7
stage2,7002,358,0,7
stage2,7002,358,1,5
stage2,7002,358,2,3
stage2,7002,358,3,1
stage2,7002,358,4,6
stage2,7002,358,5,4
stage2,7002,358,6,2
stage2,7002,358,7,8
stage2,7002,358,8,0
stage2,7003,358,0,1
stage2,7003,358,1,8
stage2,7003,358,2,6
stage2,7003,358,3,7
stage2,7003,358,4,0
stage2,7003,358,5,5
stage2,7003,358,6,2
stage2,7003,358,7,3
stage2,7003,358,8,4
stage2,7004,358,0,6
stage2,7004,358,1,2
stage2,7004,358,2,0
stage2,7004,358,3,7
stage2,7004,358,4,1
stage2,7004,358,5,4
stage2,7004,358,6,3
stage2,7004,358,7,5
stage2,7004,358,8,8
stage2,7005,358,0,6
stage2,7005,358,1,8
stage2,7005,358,2,5
stage2,7005,358,3,7
stage2,7005,358,4,2
stage2,7005,358,5,1
stage2,7005,358,6,4
stage2,7005,358,7,0
stage2,7005,358,8,3
stage2,0,443,0,0
stage2,0,443,1,1
stage2,0,443,2,2
stage2,0,443,3,3
stage2,0,443,4,4
stage2,0,443,5,5
stage2,0,443,6,6
stage2,0,443,7,7
stage2,0,443,8,8
stage2,0,443,9,9
stage2,7001,443,0,7
stage2,7001,443,1,3
stage2,7001,443,2,5
stage2,7001,443,3,2
stage2,7001,443,4,8
stage2,7001,443,5,0
stage2,7001,443,6,1
stage2,7001,443,7,6
stage2,7001,443,8,9
stage2,7001,443,9,4
stage2,7002,443,0,3
stage2,7002,443,1,8
stage2,7002,443,2,4
stage2,7002,443,3,0
stage2,7002,443,4,5
stage2,7002,443,5,9
stage2,7002,443,6,2
stage2,7002,443,7,6
stage2,7002,443,8,7
stage2,7002,443,9,1
stage2,7003,443,0,0
stage2,7003,443,1,6
stage2,7003,443,2,8
stage2,7003,443,3,7
stage2,7003,443,4,2
stage2,7003,443,5,1
stage2,7003,443,6,9
stage2,7003,443,7,4
stage2,7003,443,8,3
stage2,7003,443,9,5
stage2,7004,443,0,4
stage2,7004,443,1,3
stage2,7004,443,2,5
stage2,7004,443,3,0
stage2,7004,443,4,9
stage2,7004,443,5,2
stage2,7004,443,6,7
stage2,7004,443,7,8
stage2,7004,443,8,1
stage2,7004,443,9,6
stage2,7005,443,0,6
stage2,7005,443,1,8
stage2,7005,443,2,2
stage2,7005,443,3,4
stage2,7005,443,4,1
stage2,7005,443,5,3
stage2,7005,443,6,9
stage2,7005,443,7,5
stage2,7005,443,8,0
stage2,7005,443,9,7
stage2,0,578,0,0
stage2,0,578,1,1
stage2,0,578,2,2
stage2,0,578,3,3
stage2,0,578,4,4
stage2,0,578,5,5
stage2,0,578,6,6
stage2,0,578,7,7
stage2,0,578,8,8
stage2,0,578,9,9
stage2,0,578,10,10
stage2,7001,578,0,1
stage2,7001,578,1,4
stage2,7001,578,2,7
stage2,7001,578,3,6
stage2,7001,578,4,9
stage2,7001,578,5,0
stage2,7001,578,6,3
stage2,7001,578,7,10
stage2,7001,578,8,2
stage2,7001,578,9,8
stage2,7001,578,10,5
stage2,7002,578,0,0
stage2,7002,578,1,2
stage2,7002,578,2,3
stage2,7002,578,3,8
stage2,7002,578,4,9
stage2,7002,578,5,10
stage2,7002,578,6,5
stage2,7002,578,7,6
stage2,7002,578,8,4
stage2,7002,578,9,7
stage2,7002,578,10,1
stage2,7003,578,0,2
stage2,7003,578,1,10
stage2,7003,578,2,1
stage2,7003,578,3,3
stage2,7003,578,4,7
stage2,7003,578,5,9
stage2,7003,578,6,0
stage2,7003,578,7,6
stage2,7003,578,8,5
stage2,7003,578,9,8
stage2,7003,578,10,4
stage2,7004,578,0,8
stage2,7004,578,1,2
stage2,7004,578,2,5
stage2,7004,578,3,9
stage2,7004,578,4,10
stage2,7004,578,5,4
stage2,7004,578,6,0
stage2,7004,578,7,1
stage2,7004,578,8,6
stage2,7004,578,9,7
stage2,7004,578,10,3
stage2,7005,578,0,0
stage2,7005,578,1,6
stage2,7005,578,2,4
stage2,7005,578,3,9
stage2,7005,578,4,10
stage2,7005,578,5,3
stage2,7005,578,6,2
stage2,7005,578,7,1
stage2,7005,578,8,5
stage2,7005,578,9,7
stage2,7005,578,10,8
stage2,0,602,0,0
stage2,0,602,1,1
stage2,0,602,2,2
stage2,0,602,3,3
stage2,0,602,4,4
stage2,0,602,5,5
stage2,0,602,6,6
stage2,0,602,7,7
stage2,0,602,8,8
stage2,7001,602,0,4
stage2,7001,602,1,2
stage2,7001,602,2,5
stage2,7001,602,3,7
stage2,7001,602,4,1
stage2,7001,602,5,3
stage2,7001,602,6,0
stage2,7001,602,7,8
stage2,7001,602,8,6
stage2,7002,602,0,8
stage2,7002,602,1,4
stage2,7002,602,2,7
stage2,7002,602,3,1
stage2,7002,602,4,2
stage2,7002,602,5,3
stage2,7002,602,6,6
stage2,7002,602,7,5
stage2,7002,602,8,0
stage2,7003,602,0,7
stage2,7003,602,1,1
stage2,7003,602,2,6
stage2,7003,602,3,4
stage2,7003,602,4,5
stage2,7003,602,5,8
stage2,7003,602,6,3
stage2,7003,602,7,0
stage2,7003,602,8,2
stage2,7004,602,0,3
stage2,7004,602,1,5
stage2,7004,602,2,4
stage2,7004,602,3,0
stage2,7004,602,4,1
stage2,7004,602,5,7
stage2,7004,602,6,6
stage2,7004,602,7,8
stage2,7004,602,8,2
stage2,7005,602,0,3
stage2,7005,602,1,8
stage2,7005,602,2,7
stage2,7005,602,3,1
stage2,7005,602,4,5
stage2,7005,602,5,0
stage2,7005,602,6,4
stage2,7005,602,7,6
stage2,7005,602,8,2
stage2,0,697,0,0
stage2,0,697,1,1
stage2,0,697,2,2
stage2,0,697,3,3
stage2,0,697,4,4
stage2,0,697,5,5
stage2,0,697,6,6
stage2,0,697,7,7
stage2,0,697,8,8
stage2,0,697,9,9
stage2,0,697,10,10
stage2,0,697,11,11
stage2,0,697,12,12
stage2,7001,697,0,9
stage2,7001,697,1,1
stage2,7001,697,2,0
stage2,7001,697,3,6
stage2,7001,697,4,2
stage2,7001,697,5,8
stage2,7001,697,6,3
stage2,7001,697,7,10
stage2,7001,697,8,4
stage2,7001,697,9,5
stage2,7001,697,10,12
stage2,7001,697,11,7
stage2,7001,697,12,11
stage2,7002,697,0,2
stage2,7002,697,1,3
stage2,7002,697,2,8
stage2,7002,697,3,10
stage2,7002,697,4,9
stage2,7002,697,5,4
stage2,7002,697,6,0
stage2,7002,697,7,6
stage2,7002,697,8,12
stage2,7002,697,9,5
stage2,7002,697,10,7
stage2,7002,697,11,11
stage2,7002,697,12,1
stage2,7003,697,0,8
stage2,7003,697,1,2
stage2,7003,697,2,11
stage2,7003,697,3,0
stage2,7003,697,4,10
stage2,7003,697,5,7
stage2,7003,697,6,4
stage2,7003,697,7,1
stage2,7003,697,8,5
stage2,7003,697,9,12
stage2,7003,697,10,6
stage2,7003,697,11,3
stage2,7003,697,12,9
stage2,7004,697,0,7
stage2,7004,697,1,9
stage2,7004,697,2,8
stage2,7004,697,3,2
stage2,7004,697,4,4
stage2,7004,697,5,1
stage2,7004,697,6,5
stage2,7004,697,7,0
stage2,7004,697,8,10
stage2,7004,697,9,3
stage2,7004,697,10,6
stage2,7004,697,11,12
stage2,7004,697,12,11
stage2,7005,697,0,12
stage2,7005,697,1,4
stage2,7005,697,2,2
stage2,7005,697,3,11
stage2,7005,697,4,7
stage2,7005,697,5,0
stage2,7005,697,6,8
stage2,7005,697,7,3
stage2,7005,697,8,6
stage2,7005,697,9,9
stage2,7005,697,10,5
stage2,7005,697,11,10
stage2,7005,697,12,1
stage2,0,900,0,0
stage2,0,900,1,1
stage2,0,900,2,2
stage2,0,900,3,3
stage2,0,900,4,4
stage2,0,900,5,5
stage2,0,900,6,6
stage2,0,900,7,7
stage2,0,900,8,8
stage2,0,900,9,9
stage2,0,900,10,10
stage2,7001,900,0,1
stage2,7001,900,1,7
stage2,7001,900,2,6
stage2,7001,900,3,4
stage2,7001,900,4,10
stage2,7001,900,5,2
stage2,7001,900,6,9
stage2,7001,900,7,3
stage2,7001,900,8,5
stage2,7001,900,9,8
stage2,7001,900,10,0
stage2,7002,900,0,4
stage2,7002,900,1,5
stage2,7002,900,2,2
stage2,7002,900,3,10
stage2,7002,900,4,7
stage2,7002,900,5,6
stage2,7002,900,6,8
stage2,7002,900,7,1
stage2,7002,900,8,3
stage2,7002,900,9,0
stage2,7002,900,10,9
stage2,7003,900,0,10
stage2,7003,900,1,6
stage2,7003,900,2,1
stage2,7003,900,3,2
stage2,7003,900,4,9
stage2,7003,900,5,4
stage2,7003,900,6,0
stage2,7003,900,7,7
stage2,7003,900,8,8
stage2,7003,900,9,5
stage2,7003,900,10,3
stage2,7004,900,0,2
stage2,7004,900,1,9
stage2,7004,900,2,0
stage2,7004,900,3,6
stage2,7004,900,4,7
stage2,7004,900,5,3
stage2,7004,900,6,8
stage2,7004,900,7,4
stage2,7004,900,8,10
stage2,7004,900,9,1
stage2,7004,900,10,5
stage2,7005,900,0,0
stage2,7005,900,1,6
stage2,7005,900,2,7
stage2,7005,900,3,8
stage2,7005,900,4,1
stage2,7005,900,5,3
stage2,7005,900,6,9
stage2,7005,900,7,5
stage2,7005,900,8,2
stage2,7005,900,9,4
stage2,7005,900,10,10
stage2,0,933,0,0
stage2,0,933,1,1
stage2,0,933,2,2
stage2,0,933,3,3
stage2,0,933,4,4
stage2,0,933,5,5
stage2,0,933,6,6
stage2,0,933,7,7
stage2,0,933,8,8
stage2,7001,933,0,8
stage2,7001,933,1,5
stage2,7001,933,2,0
stage2,7001,933,3,3
stage2,7001,933,4,4
stage2,7001,933,5,2
stage2,7001,933,6,6
stage2,7001,933,7,1
stage2,7001,933,8,7
stage2,7002,933,0,2
stage2,7002,933,1,5
stage2,7002,933,2,8
stage2,7002,933,3,7
stage2,7002,933,4,3
stage2,7002,933,5,0
stage2,7002,933,6,4
stage2,7002,933,7,6
stage2,7002,933,8,1
stage2,7003,933,0,6
stage2,7003,933,1,1
stage2,7003,933,2,0
stage2,7003,933,3,5
stage2,7003,933,4,8
stage2,7003,933,5,4
stage2,7003,933,6,3
stage2,7003,933,7,7
stage2,7003,933,8,2
stage2,7004,933,0,6
stage2,7004,933,1,0
stage2,7004,933,2,7
stage2,7004,933,3,4
stage2,7004,933,4,1
stage2,7004,933,5,2
stage2,7004,933,6,8
stage2,7004,933,7,3
stage2,7004,933,8,5
stage2,7005,933,0,7
stage2,7005,933,1,1
stage2,7005,933,2,8
stage2,7005,933,3,2
stage2,7005,933,4,4
stage2,7005,933,5,5
stage2,7005,933,6,6
stage2,7005,933,7,0
stage2,7005,933,8,3
stage2,0,1004,0,0
stage2,0,1004,1,1
stage2,0,1004,2,2
stage2,0,1004,3,3
stage2,0,1004,4,4
stage2,0,1004,5,5
stage2,0,1004,6,6
stage2,0,1004,7,7
stage2,0,1004,8,8
stage2,0,1004,9,9
stage2,7001,1004,0,0
stage2,7001,1004,1,3
stage2,7001,1004,2,2
stage2,7001,1004,3,8
stage2,7001,1004,4,7
stage2,7001,1004,5,1
stage2,7001,1004,6,6
stage2,7001,1004,7,5
stage2,7001,1004,8,9
stage2,7001,1004,9,4
stage2,7002,1004,0,1
stage2,7002,1004,1,9
stage2,7002,1004,2,0
stage2,7002,1004,3,7
stage2,7002,1004,4,3
stage2,7002,1004,5,4
stage2,7002,1004,6,6
stage2,7002,1004,7,5
stage2,7002,1004,8,8
stage2,7002,1004,9,2
stage2,7003,1004,0,9
stage2,7003,1004,1,5
stage2,7003,1004,2,8
stage2,7003,1004,3,4
stage2,7003,1004,4,7
stage2,7003,1004,5,3
stage2,7003,1004,6,2
stage2,7003,1004,7,6
stage2,7003,1004,8,0
stage2,7003,1004,9,1
stage2,7004,1004,0,3
stage2,7004,1004,1,4
stage2,7004,1004,2,8
stage2,7004,1004,3,6
stage2,7004,1004,4,9
stage2,7004,1004,5,7
stage2,7004,1004,6,2
stage2,7004,1004,7,5
stage2,7004,1004,8,0
stage2,7004,1004,9,1
stage2,7005,1004,0,4
stage2,7005,1004,1,7
stage2,7005,1004,2,0
stage2,7005,1004,3,6
stage2,7005,1004,4,8
stage2,7005,1004,5,9
stage2,7005,1004,6,2
stage2,7005,1004,7,5
stage2,7005,1004,8,1
stage2,7005,1004,9,3
stage2,0,1032,0,0
stage2,0,1032,1,1
stage2,0,1032,2,2
stage2,0,1032,3,3
stage2,0,1032,4,4
stage2,0,1032,5,5
stage2,0,1032,6,6
stage2,0,1032,7,7
stage2,0,1032,8,8
stage2,0,1032,9,9
stage2,0,1032,10,10
stage2,7001,1032,0,6
stage2,7001,1032,1,7
stage2,7001,1032,2,3
stage2,7001,1032,3,8
stage2,7001,1032,4,2
stage2,7001,1032,5,10
stage2,7001,1032,6,5
stage2,7001,1032,7,9
stage2,7001,1032,8,1
stage2,7001,1032,9,4
stage2,7001,1032,10,0
stage2,7002,1032,0,4
stage2,7002,1032,1,10
stage2,7002,1032,2,7
stage2,7002,1032,3,1
stage2,7002,1032,4,3
stage2,7002,1032,5,6
stage2,7002,1032,6,0
stage2,7002,1032,7,2
stage2,7002,1032,8,8
stage2,7002,1032,9,9
stage2,7002,1032,10,5
stage2,7003,1032,0,1
stage2,7003,1032,1,0
stage2,7003,1032,2,6
stage2,7003,1032,3,7
stage2,7003,1032,4,3
stage2,7003,1032,5,5
stage2,7003,1032,6,8
stage2,7003,1032,7,4
stage2,7003,1032,8,10
stage2,7003,1032,9,2
stage2,7003,1032,10,9
stage2,7004,1032,0,5
stage2,7004,1032,1,7
stage2,7004,1032,2,0
stage2,7004,1032,3,4
stage2,7004,1032,4,2
stage2,7004,1032,5,3
stage2,7004,1032,6,6
stage2,7004,1032,7,1
stage2,7004,1032,8,10
stage2,7004,1032,9,9
stage2,7004,1032,10,8
stage2,7005,1032,0,4
stage2,7005,1032,1,9
stage2,7005,1032,2,1
stage2,7005,1032,3,2
stage2,7005,1032,4,3
stage2,7005,1032,5,5
stage2,7005,1032,6,0
stage2,7005,1032,7,7
stage2,7005,1032,8,6
stage2,7005,1032,9,10
stage2,7005,1032,10,8
stage2,0,1154,0,0
stage2,0,1154,1,1
stage2,0,1154,2,2
stage2,0,1154,3,3
stage2,0,1154,4,4
stage2,0,1154,5,5
stage2,0,1154,6,6
stage2,0,1154,7,7
stage2,0,1154,8,8
stage2,7001,1154,0,0
stage2,7001,1154,1,3
stage2,7001,1154,2,7
stage2,7001,1154,3,6
stage2,7001,1154,4,1
stage2,7001,1154,5,5
stage2,7001,1154,6,2
stage2,7001,1154,7,4
stage2,7001,1154,8,8
stage2,7002,1154,0,8
stage2,7002,1154,1,4
stage2,7002,1154,2,7
stage2,7002,1154,3,5
stage2,7002,1154,4,0
stage2,7002,1154,5,3
stage2,7002,1154,6,2
stage2,7002,1154,7,6
stage2,7002,1154,8,1
stage2,7003,1154,0,6
stage2,7003,1154,1,1
stage2,7003,1154,2,7
stage2,7003,1154,3,0
stage2,7003,1154,4,4
stage2,7003,1154,5,3
stage2,7003,1154,6,8
stage2,7003,1154,7,2
stage2,7003,1154,8,5
stage2,7004,1154,0,6
stage2,7004,1154,1,2
stage2,7004,1154,2,0
stage2,7004,1154,3,4
stage2,7004,1154,4,8
stage2,7004,1154,5,3
stage2,7004,1154,6,5
stage2,7004,1154,7,1
stage2,7004,1154,8,7
stage2,7005,1154,0,2
stage2,7005,1154,1,3
stage2,7005,1154,2,0
stage2,7005,1154,3,4
stage2,7005,1154,4,7
stage2,7005,1154,5,6
stage2,7005,1154,6,8
stage2,7005,1154,7,1
stage2,7005,1154,8,5
stage2,0,1192,0,0
stage2,0,1192,1,1
stage2,0,1192,2,2
stage2,0,1192,3,3
stage2,0,1192,4,4
stage2,0,1192,5,5
stage2,0,1192,6,6
stage2,0,1192,7,7
stage2,0,1192,8,8
stage2,0,1192,9,9
stage2,7001,1192,0,2
stage2,7001,1192,1,5
stage2,7001,1192,2,1
stage2,7001,1192,3,3
stage2,7001,1192,4,0
stage2,7001,1192,5,7
stage2,7001,1192,6,6
stage2,7001,1192,7,8
stage2,7001,1192,8,4
stage2,7001,1192,9,9
stage2,7002,1192,0,9
stage2,7002,1192,1,3
stage2,7002,1192,2,0
stage2,7002,1192,3,4
stage2,7002,1192,4,2
stage2,7002,1192,5,1
stage2,7002,1192,6,6
stage2,7002,1192,7,8
stage2,7002,1192,8,5
stage2,7002,1192,9,7
stage2,7003,1192,0,1
stage2,7003,1192,1,7
stage2,7003,1192,2,3
stage2,7003,1192,3,9
stage2,7003,1192,4,8
stage2,7003,1192,5,5
stage2,7003,1192,6,0
stage2,7003,1192,7,4
stage2,7003,1192,8,2
stage2,7003,1192,9,6
stage2,7004,1192,0,3
stage2,7004,1192,1,0
stage2,7004,1192,2,6
stage2,7004,1192,3,7
stage2,7004,1192,4,9
stage2,7004,1192,5,4
stage2,7004,1192,6,8
stage2,7004,1192,7,5
stage2,7004,1192,8,1
stage2,7004,1192,9,2
stage2,7005,1192,0,7
stage2,7005,1192,1,4
stage2,7005,1192,2,1
stage2,7005,1192,3,0
stage2,7005,1192,4,3
stage2,7005,1192,5,5
stage2,7005,1192,6,8
stage2,7005,1192,7,9
stage2,7005,1192,8,2
stage2,7005,1192,9,6
stage2,0,1217,0,0
stage2,0,1217,1,1
stage2,0,1217,2,2
stage2,0,1217,3,3
stage2,0,1217,4,4
stage2,0,1217,5,5
stage2,0,1217,6,6
stage2,0,1217,7,7
stage2,0,1217,8,8
stage2,0,1217,9,9
stage2,0,1217,10,10
stage2,0,1217,11,11
stage2,0,1217,12,12
stage2,0,1217,13,13
stage2,7001,1217,0,6
stage2,7001,1217,1,1
stage2,7001,1217,2,3
stage2,7001,1217,3,8
stage2,7001,1217,4,4
stage2,7001,1217,5,13
stage2,7001,1217,6,10
stage2,7001,1217,7,5
stage2,7001,1217,8,7
stage2,7001,1217,9,9
stage2,7001,1217,10,12
stage2,7001,1217,11,2
stage2,7001,1217,12,11
stage2,7001,1217,13,0
stage2,7002,1217,0,3
stage2,7002,1217,1,13
stage2,7002,1217,2,4
stage2,7002,1217,3,6
stage2,7002,1217,4,9
stage2,7002,1217,5,1
stage2,7002,1217,6,10
stage2,7002,1217,7,0
stage2,7002,1217,8,12
stage2,7002,1217,9,11
stage2,7002,1217,10,8
stage2,7002,1217,11,7
stage2,7002,1217,12,2
stage2,7002,1217,13,5
stage2,7003,1217,0,1
stage2,7003,1217,1,10
stage2,7003,1217,2,4
stage2,7003,1217,3,3
stage2,7003,1217,4,12
stage2,7003,1217,5,5
stage2,7003,1217,6,11
stage2,7003,1217,7,7
stage2,7003,1217,8,0
stage2,7003,1217,9,9
stage2,7003,1217,10,13
stage2,7003,1217,11,6
stage2,7003,1217,12,2
stage2,7003,1217,13,8
stage2,7004,1217,0,1
stage2,7004,1217,1,4
stage2,7004,1217,2,7
stage2,7004,1217,3,5
stage2,7004,1217,4,0
stage2,7004,1217,5,3
stage2,7004,1217,6,9
stage2,7004,1217,7,8
stage2,7004,1217,8,6
stage2,7004,1217,9,13
stage2,7004,1217,10,10
stage2,7004,1217,11,12
stage2,7004,1217,12,11
stage2,7004,1217,13,2
stage2,7005,1217,0,7
stage2,7005,1217,1,13
stage2,7005,1217,2,0
stage2,7005,1217,3,4
stage2,7005,1217,4,1
stage2,7005,1217,5,8
stage2,7005,1217,6,12
stage2,7005,1217,7,5
stage2,7005,1217,8,11
stage2,7005,1217,9,6
stage2,7005,1217,10,2
stage2,7005,1217,11,10
stage2,7005,1217,12,9
stage2,7005,1217,13,3
stage2,0,1241,0,0
stage2,0,1241,1,1
stage2,0,1241,2,2
stage2,0,1241,3,3
stage2,0,1241,4,4
stage2,0,1241,5,5
stage2,0,1241,6,6
stage2,0,1241,7,7
stage2,0,1241,8,8
stage2,0,1241,9,9
stage2,0,1241,10,10
stage2,0,1241,11,11
stage2,0,1241,12,12
stage2,7001,1241,0,1
stage2,7001,1241,1,2
stage2,7001,1241,2,8
stage2,7001,1241,3,9
