ecg_id,figure,stage,sample,plotted_time_s
2858,zoom_2858_0.png,stage1,842,1.684
2858,zoom_2858_0.png,stage1,1200,2.4
2858,zoom_2858_0.png,stage1,1343,2.686
2858,zoom_2858_0.png,stage2,198,0.396
2858,zoom_2858_0.png,stage2,699,1.398
2858,zoom_2858_0.png,stage2,1200,2.4
3316,zoom_3316_0.png,stage1,45,0.09
3316,zoom_3316_0.png,stage1,578,1.156
3316,zoom_3316_0.png,stage1,1130,2.26
3316,zoom_3316_0.png,stage2,45,0.09
3316,zoom_3316_0.png,stage2,578,1.156
3316,zoom_3316_0.png,stage2,1130,2.26
3922,zoom_3922_0.png,stage1,354,0.708
3922,zoom_3922_0.png,stage1,765,1.53
3922,zoom_3922_0.png,stage1,1181,2.362
3922,zoom_3922_0.png,stage2,354,0.708
3922,zoom_3922_0.png,stage2,765,1.53
3922,zoom_3922_0.png,stage2,1181,2.362
4210,zoom_4210_0.png,stage1,121,0.242
4210,zoom_4210_0.png,stage1,561,1.122
4210,zoom_4210_0.png,stage1,691,1.382
4210,zoom_4210_0.png,stage1,1152,2.304
4210,zoom_4210_0.png,stage2,121,0.242
4210,zoom_4210_0.png,stage2,561,1.122
4210,zoom_4210_0.png,stage2,1152,2.304
4374,zoom_4374_0.png,stage1,131,0.262
4374,zoom_4374_0.png,stage1,281,0.562
4374,zoom_4374_0.png,stage1,806,1.612
4374,zoom_4374_0.png,stage1,955,1.91
4374,zoom_4374_0.png,stage2,131,0.262
4374,zoom_4374_0.png,stage2,806,1.612
4802,zoom_4802_0.png,stage1,229,0.458
4802,zoom_4802_0.png,stage1,362,0.724
4802,zoom_4802_0.png,stage1,723,1.446
4802,zoom_4802_0.png,stage1,855,1.71
4802,zoom_4802_0.png,stage1,1248,2.496
4802,zoom_4802_0.png,stage1,1380,2.76
4802,zoom_4802_0.png,stage2,229,0.458
4802,zoom_4802_0.png,stage2,723,1.446
4802,zoom_4802_0.png,stage2,1248,2.496
5657,zoom_5657_0.png,stage1,16,0.032
5657,zoom_5657_0.png,stage1,407,0.814
5657,zoom_5657_0.png,stage1,820,1.64
5657,zoom_5657_0.png,stage2,16,0.032
5657,zoom_5657_0.png,stage2,407,0.814
5657,zoom_5657_0.png,stage2,820,1.64
5783,zoom_5783_0.png,stage1,230,0.46
5783,zoom_5783_0.png,stage1,370,0.74
5783,zoom_5783_0.png,stage1,787,1.574
5783,zoom_5783_0.png,stage1,926,1.852
5783,zoom_5783_0.png,stage1,1349,2.698
5783,zoom_5783_0.png,stage2,230,0.46
5783,zoom_5783_0.png,stage2,787,1.574
5783,zoom_5783_0.png,stage2,1349,2.698
5962,zoom_5962_0.png,stage1,57,0.114
5962,zoom_5962_0.png,stage1,434,0.868
5962,zoom_5962_0.png,stage1,572,1.144
5962,zoom_5962_0.png,stage1,948,1.896
5962,zoom_5962_0.png,stage1,1085,2.17
5962,zoom_5962_0.png,stage2,57,0.114
5962,zoom_5962_0.png,stage2,434,0.868
5962,zoom_5962_0.png,stage2,948,1.896
6534,zoom_6534_0.png,stage1,249,0.498
6534,zoom_6534_0.png,stage1,694,1.388
6534,zoom_6534_0.png,stage1,1130,2.26
6534,zoom_6534_0.png,stage2,249,0.498
6534,zoom_6534_0.png,stage2,694,1.388
6534,zoom_6534_0.png,stage2,1130,2.26
7198,zoom_7198_0.png,stage1,488,0.976
7198,zoom_7198_0.png,stage1,1045,2.09
7198,zoom_7198_0.png,stage1,1187,2.374
7198,zoom_7198_0.png,stage1,1603,3.206
7198,zoom_7198_0.png,stage2,488,0.976
7198,zoom_7198_0.png,stage2,1045,2.09
7198,zoom_7198_0.png,stage2,1603,3.206
7503,zoom_7503_0.png,stage1,556,1.112
7503,zoom_7503_0.png,stage1,1158,2.316
7503,zoom_7503_0.png,stage2,556,1.112
7503,zoom_7503_0.png,stage2,1158,2.316
8315,zoom_8315_0.png,stage1,404,0.808
8315,zoom_8315_0.png,stage1,539,1.078
8315,zoom_8315_0.png,stage1,966,1.932
8315,zoom_8315_0.png,stage1,1100,2.2
8315,zoom_8315_0.png,stage1,1518,3.036
8315,zoom_8315_0.png,stage2,404,0.808
8315,zoom_8315_0.png,stage2,966,1.932
8315,zoom_8315_0.png,stage2,1518,3.036
8385,zoom_8385_0.png,stage1,121,0.242
8385,zoom_8385_0.png,stage1,409,0.818
8385,zoom_8385_0.png,stage1,697,1.394
8385,zoom_8385_0.png,stage1,986,1.972
8385,zoom_8385_0.png,stage1,1274,2.548
8385,zoom_8385_0.png,stage2,121,0.242
8385,zoom_8385_0.png,stage2,409,0.818
8385,zoom_8385_0.png,stage2,697,1.394
8385,zoom_8385_0.png,stage2,986,1.972
8385,zoom_8385_0.png,stage2,1274,2.548
8456,zoom_8456_0.png,stage1,144,0.288
8456,zoom_8456_0.png,stage1,500,1.0
8456,zoom_8456_0.png,stage1,856,1.712
8456,zoom_8456_0.png,stage1,1215,2.43
8456,zoom_8456_0.png,stage2,144,0.288
8456,zoom_8456_0.png,stage2,500,1.0
8456,zoom_8456_0.png,stage2,856,1.712
8456,zoom_8456_0.png,stage2,1215,2.43
11924,zoom_11924_0.png,stage1,56,0.112
11924,zoom_11924_0.png,stage1,480,0.96
11924,zoom_11924_0.png,stage1,1028,2.056
11924,zoom_11924_0.png,stage2,56,0.112
11924,zoom_11924_0.png,stage2,480,0.96
11924,zoom_11924_0.png,stage2,1028,2.056
12118,zoom_12118_0.png,stage1,364,0.728
12118,zoom_12118_0.png,stage1,504,1.008
12118,zoom_12118_0.png,stage1,946,1.892
12118,zoom_12118_0.png,stage1,1089,2.178
12118,zoom_12118_0.png,stage1,1523,3.046
12118,zoom_12118_0.png,stage2,364,0.728
12118,zoom_12118_0.png,stage2,946,1.892
12118,zoom_12118_0.png,stage2,1523,3.046
13919,zoom_13919_0.png,stage1,242,0.484
13919,zoom_13919_0.png,stage1,387,0.774
13919,zoom_13919_0.png,stage1,845,1.69
13919,zoom_13919_0.png,stage1,990,1.98
13919,zoom_13919_0.png,stage2,242,0.484
13919,zoom_13919_0.png,stage2,845,1.69
15974,zoom_15974_0.png,stage1,52,0.104
15974,zoom_15974_0.png,stage1,545,1.09
15974,zoom_15974_0.png,stage1,1005,2.01
15974,zoom_15974_0.png,stage2,52,0.104
15974,zoom_15974_0.png,stage2,545,1.09
15974,zoom_15974_0.png,stage2,1005,2.01
18147,zoom_18147_0.png,stage1,144,0.288
18147,zoom_18147_0.png,stage1,813,1.626
18147,zoom_18147_0.png,stage2,144,0.288
18147,zoom_18147_0.png,stage2,813,1.626
18572,zoom_18572_0.png,stage1,370,0.74
18572,zoom_18572_0.png,stage1,520,1.04
18572,zoom_18572_0.png,stage1,954,1.908
18572,zoom_18572_0.png,stage1,1103,2.206
18572,zoom_18572_0.png,stage1,1522,3.044
18572,zoom_18572_0.png,stage2,370,0.74
18572,zoom_18572_0.png,stage2,954,1.908
18572,zoom_18572_0.png,stage2,1522,3.044
19122,zoom_19122_0.png,stage1,312,0.624
19122,zoom_19122_0.png,stage1,461,0.922
19122,zoom_19122_0.png,stage1,800,1.6
19122,zoom_19122_0.png,stage1,950,1.9
19122,zoom_19122_0.png,stage1,1292,2.584
19122,zoom_19122_0.png,stage1,1442,2.884
19122,zoom_19122_0.png,stage2,312,0.624
19122,zoom_19122_0.png,stage2,461,0.922
19122,zoom_19122_0.png,stage2,800,1.6
19122,zoom_19122_0.png,stage2,1292,2.584
19122,zoom_19122_0.png,stage2,1442,2.884
19635,zoom_19635_0.png,stage1,260,0.52
19635,zoom_19635_0.png,stage1,893,1.786
19635,zoom_19635_0.png,stage2,260,0.52
19635,zoom_19635_0.png,stage2,893,1.786
19708,zoom_19708_0.png,stage1,77,0.154
19708,zoom_19708_0.png,stage1,528,1.056
19708,zoom_19708_0.png,stage1,669,1.338
19708,zoom_19708_0.png,stage1,1120,2.24
19708,zoom_19708_0.png,stage1,1260,2.52
19708,zoom_19708_0.png,stage2,77,0.154
19708,zoom_19708_0.png,stage2,528,1.056
19708,zoom_19708_0.png,stage2,1120,2.24
20897,zoom_20897_0.png,stage1,21,0.042
20897,zoom_20897_0.png,stage1,159,0.318
20897,zoom_20897_0.png,stage1,624,1.248
20897,zoom_20897_0.png,stage1,780,1.56
20897,zoom_20897_0.png,stage2,21,0.042
20897,zoom_20897_0.png,stage2,159,0.318
20897,zoom_20897_0.png,stage2,624,1.248
